Fri Oct 13 22:07:46 UTC 2017

DeviceName,IPAddress,DeviceVersion,DeviceModel,LastActivity
Local ESM,10.75.102.10,10000003,ETM-X4,
REC.11,10.75.102.11,10000003,ERC-1250,10/13/2017 22:05:58.000
ELM.13,10.75.102.13,10000003,ELM-4600,
ADM.14,10.75.102.14,10000003,APM-1250,08/09/2017 03:34:33.000
ACE.16,10.75.102.16,10000003,ACE-2600,10/13/2017 21:59:57.000
DEM.15,10.75.102.15,10000003,DSM-2600,10/13/2017 22:01:15.000
HA_REC.20.21.22,10.75.102.21,10000003,ERC-2600,10/13/2017 22:03:05.000
IPS.12,10.75.102.12,0,,
