2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Linux - 10.75.126.32 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Enterasys NAC - 10.75.126.30 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,InterSect SNARE - 10.75.126.33 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Juniper Netscreen - 10.75.126.35 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Lumension Bouncer - 10.75.126.37 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,F5 BIG-IP - 10.75.126.36 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,UnityOne - 10.75.126.29 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Dell SONIC - 10.75.126.34 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,McAfee Firewall - 10.75.126.25 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,BlueCoat ProxySG - 10.75.126.22 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Secure ACS - 10.75.126.23 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Cisco IOS - 10.75.126.26 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,SourceFire - 10.75.126.24 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Cisco Pix - 10.75.126.21 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,REC.11 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,Cisco Pix - 10.75.126.27 last reported in on 09/27/2017 18:21:31.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,HA_REC.20.21.22 last reported in on 09/27/2017 18:18:45.000,,
2017-09-27 18:25:48,Data Source Activity,10.75.102.10,DEM.15 last reported in on 09/27/2017 18:16:45.000,,
